Bypass Fraction,NG Steam Ratio,Steam Flow,Reformer Duty,AR,C2H6,C3H8,C4H10,CH4,CO,CO2,H2,H2O,N2,O2
0.8 , 0.8 , 0.19389787199999997 , 9806.732716102517 , 0.002662395811748887 , 0.01211968381282141 , 0.0026511807867850836 , 0.0015149604495912183 , 0.3692760681919927 , 0.07397142333042744 , 0.03225100421183772 , 0.20849443329713263 , 0.07077106426050568 , 0.2262877858471572 , 1.1969527942193327e-20
0.8 , 0.8105263157894738 , 0.19644915978947364 , 9846.047501421162 , 0.002659601749584624 , 0.012106964754724777 , 0.002648398494274578 , 0.0015133705681566556 , 0.36888302837707493 , 0.07368399284853443 , 0.032432460682008356 , 0.20850743502084318 , 0.07151444029920186 , 0.2260503072055968 , 1.2229158575221766e-20
0.8 , 0.8210526315789474 , 0.1990004475789473 , 9885.41925920413 , 0.0026568141631683035 , 0.01209427517559194 , 0.002645622650233699 , 0.0015117843715618787 , 0.3684910144796415 , 0.07339825235943521 , 0.0326123577968679 , 0.20851892288425722 , 0.07225757715520281 , 0.2258133789640396 , 1.24917940316755e-20
0.8 , 0.8315789473684211 , 0.201551735368421 , 9924.849127434189 , 0.0026540330121490106 , 0.01208161489172774 , 0.002642853214481507 , 0.001510201836846351 , 0.36810001709416856 , 0.07311419044970578 , 0.032790709168794833 , 0.20852891925516245 , 0.07300046338406538 , 0.22557699769289835 , 1.2757439652071078e-20
0.8 , 0.8421052631578948 , 0.2041030231578947 , 9964.338176596615 , 0.0026512582571179668 , 0.012068983723726327 , 0.002640090147775226 , 0.001508622941585629 , 0.3677100270919641 , 0.07283179570934689 , 0.032967528298172656 , 0.20853744601324284 , 0.0737430877744069 , 0.22534116004266153 , 1.3026100750663169e-20
0.8 , 0.8526315789473684 , 0.20665431094736833 , 10003.88741315115 , 0.002648489859567069 , 0.012056381496282425 , 0.0026373334117689652 , 0.0015070476638677753 , 0.3673210356085122 , 0.0725510567375351 , 0.03314282857289114 , 0.20854452456755343 , 0.07448543934165215 , 0.22510586274036978 , 1.329778261565774e-20
0.8 , 0.8631578947368421 , 0.20920559873684205 , 10043.497782805905 , 0.0026457277818497413 , 0.012043808038013075 , 0.0026345829689747298 , 0.001505475982271078 , 0.3669330340315239 , 0.07227196214796011 , 0.03331662326796611 , 0.2085501758731068 , 0.07522750732204612 , 0.22487110258628837 , 1.357249050942208e-20
0.8 , 0.8736842105263158 , 0.21175688652631575 , 10083.1701736051 , 0.0026429719871439387 , 0.012031263181289196 , 0.0026318387827255828 , 0.001503907875843003 , 0.3665460139896475 , 0.07199450057377448 , 0.03348892554527151 , 0.2085544204466289 , 0.07596928116691322 , 0.22463687645076283 , 1.3850229668690882e-20
0.8 , 0.8842105263157896 , 0.2143081743157894 , 10122.905418842753 , 0.0026402224394171643 , 0.012018746762076302 , 0.002629100817140811 , 0.0015023433240802845 , 0.36615996734179823 , 0.07171866067218295 , 0.0336597484533733 , 0.2085572783815342 , 0.07671075053715125 , 0.22440318127124548 , 1.413100530476626e-20
0.8 , 0.8947368421052632 , 0.2168594621052631 , 10162.704299813393 , 0.0026374791033933823 , 0.012006258619783867 , 0.0026263690370929736 , 0.0015007823069100995 , 0.36577488616706655 , 0.07144443112869542 , 0.0338291049274584 , 0.20855876936217016 , 0.07745190529794556 , 0.22417001404948345 , 1.441482260371898e-20
